id,category,creator_id,level,maxUsers,price,title,duration,datetime,creator,description
1194,Yoga,183,intermediate,27,13.14,A Yoga class,1 h 35 min,2023-08-27 00:00:00.562059,kristen_carter,"Discover inner peace and enhance your physical and mental well-being with our invigorating yoga classes. Unwind, increase flexibility, and strengthen your body while finding balance and harmony in a serene environment."
1195,Boxing,970,intermediate,36,16.34,A Boxing class,0 h 40 min,2024-02-14 12:00:00.562059,shannon_hale,"Unleash your inner fighter and improve your strength and agility with our empowering boxing classes. Learn proper boxing techniques, increase endurance, and build confidence while working up a sweat and relieving stress."
1196,Personalized,684,advanced,29,14.82,A Personalized class,0 h 10 min,2023-12-12 18:30:00.562059,robert_howe,"Experience the ultimate tailored fitness program with our personalized classes. Our expert trainers will design a workout plan specifically for you, taking into account your goals, fitness level, and preferences to ensure optimal results and motivation."
1197,Body Combat,370,all levels,15,17.66,A Body Combat class,2 h ,2023-07-06 05:00:00.562059,antonio_gibson,"Channel your energy and release stress with our dynamic body combat classes. Combine martial arts-inspired moves with cardiovascular exercises to improve strength, coordination, and cardiovascular fitness in a challenging and empowering session."
1198,Body Combat,290,begginer,18,16.29,A Body Combat class,1 h 35 min,2024-02-14 05:00:00.562059,joseph_gallagher,"Channel your energy and release stress with our dynamic body combat classes. Combine martial arts-inspired moves with cardiovascular exercises to improve strength, coordination, and cardiovascular fitness in a challenging and empowering session."
1199,CrossFit,278,all levels,7,12.67,A CrossFit class,1 h 45 min,2023-12-14 17:00:00.562059,bryan_cervantes,"Unleash your inner athlete with our high-intensity CrossFit classes. Push your limits, increase strength and endurance, and experience the camaraderie of a supportive community as you tackle challenging workouts designed to optimize your fitness."
1200,ABS,923,advanced,44,14.35,A ABS class,0 h 15 min,2024-02-02 07:00:00.562059,patricia_oneal,"Sculpt a strong and defined core with our dedicated ABS classes. Through a variety of exercises specifically targeting your abdominal muscles, you'll work towards achieving a toned midsection and improved stability."
1201,Aerobics,994,begginer,39,12.92,A Aerobics class,2 h ,2024-04-26 09:00:00.562059,david_hill,"Join the fun and get your heart pumping with our vibrant aerobics classes. Move to energizing music, improve cardiovascular fitness, and enhance coordination while enjoying a lively and engaging workout."
1202,Spinning,783,begginer,37,15.93,A Spinning class,2 h ,2024-04-26 14:00:00.562059,michelle_oneill,"Pedal your way to a healthier you with our energizing spinning classes. Get your heart racing, strengthen your legs, and burn calories as you ride to the rhythm of motivating music in a dynamic and immersive indoor cycling experience."
1203,Yoga,103,intermediate,13,20.59,A Yoga class,0 h 40 min,2024-02-23 19:30:00.562059,tammy_cox,"Discover inner peace and enhance your physical and mental well-being with our invigorating yoga classes. Unwind, increase flexibility, and strengthen your body while finding balance and harmony in a serene environment."
1204,Barre,319,advanced,1,11.64,A Barre class,1 h 15 min,2024-02-15 09:00:00.562059,edward_baker,"Achieve a graceful and sculpted physique with our ballet-inspired barre classes. Combine elements of dance, Pilates, and strength training to tone your muscles, improve flexibility, and embrace your inner ballerina."
1205,GAP,705,begginer,39,12.39,A GAP class,0 h 15 min,2023-08-30 19:30:00.562059,wesley_hayes,"Focus on your lower body and core strength with our targeted GAP classes. Tone and tighten your glutes, abs, and legs through a combination of exercises designed to help you achieve a firm and toned physique."
1206,Yoga,997,intermediate,4,16.25,A Yoga class,1 h 55 min,2023-08-27 18:30:00.562059,shelby_carter,"Discover inner peace and enhance your physical and mental well-being with our invigorating yoga classes. Unwind, increase flexibility, and strengthen your body while finding balance and harmony in a serene environment."
1207,Stretching,50,advanced,2,12.75,A Stretching class,2 h ,2023-11-15 10:30:00.562059,rebecca_ellis,"Enhance your flexibility, improve posture, and prevent injuries with our rejuvenating stretching classes. Release tension, increase range of motion, and promote muscle recovery while experiencing deep relaxation and stress relief."
1208,HIIT,823,advanced,27,16.16,A HIIT class,2 h ,2023-09-04 22:30:00.562059,amber_walker,Get ready to torch calories and boost your metabolism with our heart-pumping HIIT sessions. Alternate between intense bursts of exercise and short recovery periods to maximize fat burning and achieve fast results.
1209,Other,607,intermediate,16,13.99,A Other class,1 h 20 min,2024-01-30 04:00:00.562059,daniel_leonard,"Embark on a journey of exploration and variety with our diverse range of specialized fitness classes. From aerial yoga to functional training, we offer unique opportunities to challenge yourself, discover new passions, and uncover hidden talents. Step outside your comfort zone"
1210,HIIT,937,all levels,34,15.16,A HIIT class,2 h ,2024-03-20 14:30:00.562059,paul_gregory,Get ready to torch calories and boost your metabolism with our heart-pumping HIIT sessions. Alternate between intense bursts of exercise and short recovery periods to maximize fat burning and achieve fast results.
1211,HIIT,848,advanced,32,7.28,A HIIT class,2 h ,2024-02-07 19:30:00.562059,yvette_gordon,Get ready to torch calories and boost your metabolism with our heart-pumping HIIT sessions. Alternate between intense bursts of exercise and short recovery periods to maximize fat burning and achieve fast results.
1212,Stretching,575,begginer,37,20.48,A Stretching class,1 h ,2024-01-03 18:30:00.562059,carl_burke,"Enhance your flexibility, improve posture, and prevent injuries with our rejuvenating stretching classes. Release tension, increase range of motion, and promote muscle recovery while experiencing deep relaxation and stress relief."
1213,GAP,977,advanced,12,13.0,A GAP class,0 h 25 min,2024-03-07 10:30:00.562059,sharon_ortiz,"Focus on your lower body and core strength with our targeted GAP classes. Tone and tighten your glutes, abs, and legs through a combination of exercises designed to help you achieve a firm and toned physique."
1214,GAP,873,intermediate,30,13.04,A GAP class,1 h 50 min,2024-04-30 07:30:00.562059,haley_baldwin,"Focus on your lower body and core strength with our targeted GAP classes. Tone and tighten your glutes, abs, and legs through a combination of exercises designed to help you achieve a firm and toned physique."
1215,Other,605,all levels,25,15.61,A Other class,2 h ,2023-12-10 19:00:00.562059,scott_smith,"Embark on a journey of exploration and variety with our diverse range of specialized fitness classes. From aerial yoga to functional training, we offer unique opportunities to challenge yourself, discover new passions, and uncover hidden talents. Step outside your comfort zone"
1216,HIIT,684,advanced,50,10.92,A HIIT class,1 h 25 min,2023-10-01 15:00:00.562059,robert_howe,Get ready to torch calories and boost your metabolism with our heart-pumping HIIT sessions. Alternate between intense bursts of exercise and short recovery periods to maximize fat burning and achieve fast results.
1217,HIIT,975,all levels,15,15.5,A HIIT class,0 h 25 min,2024-05-15 00:30:00.562059,wendy_johnson,Get ready to torch calories and boost your metabolism with our heart-pumping HIIT sessions. Alternate between intense bursts of exercise and short recovery periods to maximize fat burning and achieve fast results.
1218,HIIT,38,intermediate,31,16.37,A HIIT class,0 h 25 min,2023-11-12 19:30:00.562059,david_ibarra,Get ready to torch calories and boost your metabolism with our heart-pumping HIIT sessions. Alternate between intense bursts of exercise and short recovery periods to maximize fat burning and achieve fast results.
1219,Aerobics,197,advanced,38,12.92,A Aerobics class,2 h ,2024-01-13 00:00:00.562059,monica_sandoval,"Join the fun and get your heart pumping with our vibrant aerobics classes. Move to energizing music, improve cardiovascular fitness, and enhance coordination while enjoying a lively and engaging workout."
1220,Spinning,768,begginer,9,13.02,A Spinning class,0 h 15 min,2023-08-05 11:00:00.562059,katherine_adams,"Pedal your way to a healthier you with our energizing spinning classes. Get your heart racing, strengthen your legs, and burn calories as you ride to the rhythm of motivating music in a dynamic and immersive indoor cycling experience."
1221,Body Combat,625,begginer,16,16.65,A Body Combat class,2 h ,2023-06-21 09:00:00.562059,tyler_fox,"Channel your energy and release stress with our dynamic body combat classes. Combine martial arts-inspired moves with cardiovascular exercises to improve strength, coordination, and cardiovascular fitness in a challenging and empowering session."
1222,CrossFit,91,intermediate,36,8.55,A CrossFit class,2 h ,2024-02-10 06:30:00.562059,samuel_smith,"Unleash your inner athlete with our high-intensity CrossFit classes. Push your limits, increase strength and endurance, and experience the camaraderie of a supportive community as you tackle challenging workouts designed to optimize your fitness."
1223,Boxing,71,intermediate,32,19.02,A Boxing class,1 h 10 min,2023-11-17 05:30:00.562059,christopher_allen,"Unleash your inner fighter and improve your strength and agility with our empowering boxing classes. Learn proper boxing techniques, increase endurance, and build confidence while working up a sweat and relieving stress."
1224,Aerobics,344,begginer,12,13.57,A Aerobics class,0 h 25 min,2023-12-22 00:00:00.562059,phillip_terrell,"Join the fun and get your heart pumping with our vibrant aerobics classes. Move to energizing music, improve cardiovascular fitness, and enhance coordination while enjoying a lively and engaging workout."
1225,CrossFit,518,advanced,46,10.73,A CrossFit class,0 h ,2024-02-22 10:30:00.562059,deanna_bates,"Unleash your inner athlete with our high-intensity CrossFit classes. Push your limits, increase strength and endurance, and experience the camaraderie of a supportive community as you tackle challenging workouts designed to optimize your fitness."
1226,Spinning,619,intermediate,20,10.08,A Spinning class,2 h ,2024-04-04 07:30:00.562059,dakota_mckinney,"Pedal your way to a healthier you with our energizing spinning classes. Get your heart racing, strengthen your legs, and burn calories as you ride to the rhythm of motivating music in a dynamic and immersive indoor cycling experience."
1227,Total Body Conditioning,350,advanced,20,17.34,A Total Body Conditioning class,2 h ,2023-07-07 04:00:00.562059,ryan_garcia,"Transform your body from head to toe with our comprehensive total body conditioning classes. Combining strength, cardio, and flexibility exercises, you'll enjoy a complete workout that targets all muscle groups for improved fitness and body composition."
1228,Spinning,439,begginer,20,13.09,A Spinning class,2 h ,2023-09-25 15:30:00.562059,kristen_flores,"Pedal your way to a healthier you with our energizing spinning classes. Get your heart racing, strengthen your legs, and burn calories as you ride to the rhythm of motivating music in a dynamic and immersive indoor cycling experience."
1229,Boxing,995,all levels,39,15.32,A Boxing class,2 h ,2024-01-13 00:30:00.562059,austin_nelson,"Unleash your inner fighter and improve your strength and agility with our empowering boxing classes. Learn proper boxing techniques, increase endurance, and build confidence while working up a sweat and relieving stress."
1230,Kickboxing,968,all levels,16,23.43,A Kickboxing class,2 h ,2023-08-20 02:30:00.562059,maria_dillon,"Release stress and get a full-body workout with our empowering kickboxing classes. Learn striking techniques, improve your coordination, and build strength while unleashing your inner warrior in a fun and supportive environment."
1231,Personalized,847,begginer,36,13.96,A Personalized class,0 h ,2023-08-21 06:00:00.562059,holly_green,"Experience the ultimate tailored fitness program with our personalized classes. Our expert trainers will design a workout plan specifically for you, taking into account your goals, fitness level, and preferences to ensure optimal results and motivation."
1232,Other,211,all levels,13,15.02,A Other class,0 h 35 min,2024-03-01 08:00:00.562059,mason_payne,"Embark on a journey of exploration and variety with our diverse range of specialized fitness classes. From aerial yoga to functional training, we offer unique opportunities to challenge yourself, discover new passions, and uncover hidden talents. Step outside your comfort zone"
1233,CrossFit,371,advanced,21,17.3,A CrossFit class,0 h 25 min,2023-11-22 07:00:00.562059,emily_navarro,"Unleash your inner athlete with our high-intensity CrossFit classes. Push your limits, increase strength and endurance, and experience the camaraderie of a supportive community as you tackle challenging workouts designed to optimize your fitness."
1234,Total Body Conditioning,406,all levels,2,16.57,A Total Body Conditioning class,2 h ,2023-12-01 08:30:00.562059,christopher_fisher,"Transform your body from head to toe with our comprehensive total body conditioning classes. Combining strength, cardio, and flexibility exercises, you'll enjoy a complete workout that targets all muscle groups for improved fitness and body composition."
1235,HIIT,551,intermediate,9,13.8,A HIIT class,0 h 50 min,2024-01-16 07:30:00.562059,vanessa_foley,Get ready to torch calories and boost your metabolism with our heart-pumping HIIT sessions. Alternate between intense bursts of exercise and short recovery periods to maximize fat burning and achieve fast results.
1236,Zumba,843,begginer,43,14.46,A Zumba class,1 h 20 min,2024-04-19 16:30:00.562059,ryan_herrera,"Join the dance party and get your heart pumping with our exhilarating Zumba classes. Burn calories, boost your energy, and let loose to infectious Latin and international rhythms that make exercising feel like a celebration."
1237,Kickboxing,384,begginer,19,13.75,A Kickboxing class,2 h ,2023-08-30 08:00:00.562059,francisco_santana,"Release stress and get a full-body workout with our empowering kickboxing classes. Learn striking techniques, improve your coordination, and build strength while unleashing your inner warrior in a fun and supportive environment."
1238,Personalized,333,advanced,2,15.29,A Personalized class,2 h ,2024-02-09 06:00:00.562059,john_christensen,"Experience the ultimate tailored fitness program with our personalized classes. Our expert trainers will design a workout plan specifically for you, taking into account your goals, fitness level, and preferences to ensure optimal results and motivation."
1239,Barre,862,advanced,43,13.6,A Barre class,0 h 50 min,2023-10-28 18:00:00.562059,rachel_mclaughlin,"Achieve a graceful and sculpted physique with our ballet-inspired barre classes. Combine elements of dance, Pilates, and strength training to tone your muscles, improve flexibility, and embrace your inner ballerina."
1240,Pilates,312,intermediate,32,16.51,A Pilates class,1 h 50 min,2024-02-09 07:00:00.562059,darrell_hinton,"Sculpt your body and improve your posture with our dynamic Pilates sessions. Strengthen your core, tone your muscles, and increase flexibility while engaging in precise movements that promote body awareness and grace."
1241,Body Pump,438,begginer,49,11.09,A Body Pump class,1 h 45 min,2023-06-18 21:30:00.562059,todd_spencer,"Sculpt and define your muscles with our invigorating body pump classes. Using barbells and adjustable weights, you'll perform a series of strength-training exercises to target all major muscle groups, leaving you feeling strong and confident."
1242,Zumba,684,begginer,5,14.46,A Zumba class,2 h ,2024-03-22 23:30:00.562059,robert_howe,"Join the dance party and get your heart pumping with our exhilarating Zumba classes. Burn calories, boost your energy, and let loose to infectious Latin and international rhythms that make exercising feel like a celebration."
1243,Spinning,487,begginer,48,17.35,A Spinning class,2 h ,2023-09-23 23:30:00.562059,rebecca_sanchez,"Pedal your way to a healthier you with our energizing spinning classes. Get your heart racing, strengthen your legs, and burn calories as you ride to the rhythm of motivating music in a dynamic and immersive indoor cycling experience."
1244,Aerobics,113,all levels,2,9.86,A Aerobics class,2 h ,2024-05-06 10:30:00.562059,calvin_smith,"Join the fun and get your heart pumping with our vibrant aerobics classes. Move to energizing music, improve cardiovascular fitness, and enhance coordination while enjoying a lively and engaging workout."
1245,Stretching,280,intermediate,30,15.52,A Stretching class,1 h 40 min,2024-04-11 21:30:00.562059,steven_guerrero,"Enhance your flexibility, improve posture, and prevent injuries with our rejuvenating stretching classes. Release tension, increase range of motion, and promote muscle recovery while experiencing deep relaxation and stress relief."
1246,Stretching,211,intermediate,45,10.62,A Stretching class,2 h ,2023-09-23 03:00:00.562059,mason_payne,"Enhance your flexibility, improve posture, and prevent injuries with our rejuvenating stretching classes. Release tension, increase range of motion, and promote muscle recovery while experiencing deep relaxation and stress relief."
1247,Stretching,71,advanced,49,19.92,A Stretching class,0 h 10 min,2024-02-24 15:30:00.562059,christopher_allen,"Enhance your flexibility, improve posture, and prevent injuries with our rejuvenating stretching classes. Release tension, increase range of motion, and promote muscle recovery while experiencing deep relaxation and stress relief."
1248,Body Combat,370,advanced,7,12.66,A Body Combat class,0 h 15 min,2023-09-09 19:30:00.562059,antonio_gibson,"Channel your energy and release stress with our dynamic body combat classes. Combine martial arts-inspired moves with cardiovascular exercises to improve strength, coordination, and cardiovascular fitness in a challenging and empowering session."
1249,Body Pump,438,begginer,10,16.09,A Body Pump class,1 h 10 min,2023-07-01 00:00:00.562059,todd_spencer,"Sculpt and define your muscles with our invigorating body pump classes. Using barbells and adjustable weights, you'll perform a series of strength-training exercises to target all major muscle groups, leaving you feeling strong and confident."
1250,Body Pump,355,all levels,10,16.95,A Body Pump class,2 h ,2023-11-22 06:30:00.562059,keith_garner,"Sculpt and define your muscles with our invigorating body pump classes. Using barbells and adjustable weights, you'll perform a series of strength-training exercises to target all major muscle groups, leaving you feeling strong and confident."
1251,GAP,183,begginer,49,15.76,A GAP class,2 h ,2023-07-31 12:30:00.562059,kristen_carter,"Focus on your lower body and core strength with our targeted GAP classes. Tone and tighten your glutes, abs, and legs through a combination of exercises designed to help you achieve a firm and toned physique."
1252,Body Combat,133,all levels,40,14.23,A Body Combat class,1 h 50 min,2023-07-25 14:30:00.562059,michelle_stewart,"Channel your energy and release stress with our dynamic body combat classes. Combine martial arts-inspired moves with cardiovascular exercises to improve strength, coordination, and cardiovascular fitness in a challenging and empowering session."
1253,Spinning,985,all levels,21,13.74,A Spinning class,1 h 35 min,2023-06-26 11:30:00.562059,marc_parker,"Pedal your way to a healthier you with our energizing spinning classes. Get your heart racing, strengthen your legs, and burn calories as you ride to the rhythm of motivating music in a dynamic and immersive indoor cycling experience."
1254,Yoga,113,all levels,46,17.56,A Yoga class,1 h 50 min,2023-09-30 23:30:00.562059,calvin_smith,"Discover inner peace and enhance your physical and mental well-being with our invigorating yoga classes. Unwind, increase flexibility, and strengthen your body while finding balance and harmony in a serene environment."
1255,HIIT,985,advanced,46,13.92,A HIIT class,2 h ,2024-04-05 14:30:00.562059,marc_parker,Get ready to torch calories and boost your metabolism with our heart-pumping HIIT sessions. Alternate between intense bursts of exercise and short recovery periods to maximize fat burning and achieve fast results.
1256,Stretching,749,intermediate,29,10.35,A Stretching class,2 h ,2024-02-20 06:30:00.562059,carol_patterson,"Enhance your flexibility, improve posture, and prevent injuries with our rejuvenating stretching classes. Release tension, increase range of motion, and promote muscle recovery while experiencing deep relaxation and stress relief."
1257,Aerobics,781,all levels,16,12.25,A Aerobics class,1 h 40 min,2023-10-18 05:00:00.562059,angel_ingram,"Join the fun and get your heart pumping with our vibrant aerobics classes. Move to energizing music, improve cardiovascular fitness, and enhance coordination while enjoying a lively and engaging workout."
1258,Pilates,63,all levels,25,14.17,A Pilates class,0 h 20 min,2023-11-20 21:00:00.562059,william_gibson,"Sculpt your body and improve your posture with our dynamic Pilates sessions. Strengthen your core, tone your muscles, and increase flexibility while engaging in precise movements that promote body awareness and grace."
1259,Pilates,912,advanced,32,15.65,A Pilates class,1 h 5 min,2023-08-11 17:30:00.562059,vicki_mcpherson,"Sculpt your body and improve your posture with our dynamic Pilates sessions. Strengthen your core, tone your muscles, and increase flexibility while engaging in precise movements that promote body awareness and grace."
1260,Zumba,995,all levels,41,13.47,A Zumba class,2 h ,2024-02-19 22:00:00.562059,austin_nelson,"Join the dance party and get your heart pumping with our exhilarating Zumba classes. Burn calories, boost your energy, and let loose to infectious Latin and international rhythms that make exercising feel like a celebration."
1261,CrossFit,41,all levels,11,16.14,A CrossFit class,1 h 55 min,2023-06-15 09:30:00.562059,emily_hunter,"Unleash your inner athlete with our high-intensity CrossFit classes. Push your limits, increase strength and endurance, and experience the camaraderie of a supportive community as you tackle challenging workouts designed to optimize your fitness."
1262,Pilates,118,all levels,50,17.94,A Pilates class,2 h ,2023-09-18 22:30:00.562059,abigail_turner_dds,"Sculpt your body and improve your posture with our dynamic Pilates sessions. Strengthen your core, tone your muscles, and increase flexibility while engaging in precise movements that promote body awareness and grace."
1263,GAP,40,begginer,16,14.14,A GAP class,0 h 50 min,2024-04-01 17:00:00.562059,katherine_grant,"Focus on your lower body and core strength with our targeted GAP classes. Tone and tighten your glutes, abs, and legs through a combination of exercises designed to help you achieve a firm and toned physique."
1264,Stretching,768,intermediate,11,10.9,A Stretching class,2 h ,2023-12-29 03:30:00.562059,katherine_adams,"Enhance your flexibility, improve posture, and prevent injuries with our rejuvenating stretching classes. Release tension, increase range of motion, and promote muscle recovery while experiencing deep relaxation and stress relief."
1265,CrossFit,107,all levels,15,15.15,A CrossFit class,1 h ,2023-12-20 13:00:00.562059,alicia_johnson,"Unleash your inner athlete with our high-intensity CrossFit classes. Push your limits, increase strength and endurance, and experience the camaraderie of a supportive community as you tackle challenging workouts designed to optimize your fitness."
1266,Pilates,305,begginer,15,14.93,A Pilates class,0 h ,2023-08-11 22:00:00.562059,anthony_young,"Sculpt your body and improve your posture with our dynamic Pilates sessions. Strengthen your core, tone your muscles, and increase flexibility while engaging in precise movements that promote body awareness and grace."
1267,Barre,243,advanced,8,13.32,A Barre class,2 h ,2023-06-30 00:00:00.562059,ms__leslie_duke,"Achieve a graceful and sculpted physique with our ballet-inspired barre classes. Combine elements of dance, Pilates, and strength training to tone your muscles, improve flexibility, and embrace your inner ballerina."
1268,Body Pump,854,intermediate,13,12.52,A Body Pump class,1 h 10 min,2023-07-17 05:30:00.562059,breanna_johnston,"Sculpt and define your muscles with our invigorating body pump classes. Using barbells and adjustable weights, you'll perform a series of strength-training exercises to target all major muscle groups, leaving you feeling strong and confident."
1269,ABS,734,all levels,24,9.02,A ABS class,2 h ,2023-10-01 02:30:00.562059,amber_crawford,"Sculpt a strong and defined core with our dedicated ABS classes. Through a variety of exercises specifically targeting your abdominal muscles, you'll work towards achieving a toned midsection and improved stability."
1270,ABS,673,advanced,21,16.39,A ABS class,0 h 35 min,2024-04-04 01:00:00.562059,anna_gutierrez,"Sculpt a strong and defined core with our dedicated ABS classes. Through a variety of exercises specifically targeting your abdominal muscles, you'll work towards achieving a toned midsection and improved stability."
1271,Other,304,all levels,4,11.2,A Other class,0 h 15 min,2023-10-18 14:30:00.562059,terry_parker,"Embark on a journey of exploration and variety with our diverse range of specialized fitness classes. From aerial yoga to functional training, we offer unique opportunities to challenge yourself, discover new passions, and uncover hidden talents. Step outside your comfort zone"
1272,Kickboxing,148,all levels,43,15.48,A Kickboxing class,2 h ,2024-03-01 04:00:00.562059,jessica_hughes,"Release stress and get a full-body workout with our empowering kickboxing classes. Learn striking techniques, improve your coordination, and build strength while unleashing your inner warrior in a fun and supportive environment."
1273,HIIT,759,intermediate,38,19.12,A HIIT class,2 h ,2023-08-11 01:00:00.562059,brian_white,Get ready to torch calories and boost your metabolism with our heart-pumping HIIT sessions. Alternate between intense bursts of exercise and short recovery periods to maximize fat burning and achieve fast results.
1274,Stretching,539,intermediate,2,19.86,A Stretching class,1 h ,2023-07-11 01:00:00.562059,deborah_colon,"Enhance your flexibility, improve posture, and prevent injuries with our rejuvenating stretching classes. Release tension, increase range of motion, and promote muscle recovery while experiencing deep relaxation and stress relief."
1275,Kickboxing,799,begginer,5,14.58,A Kickboxing class,2 h ,2024-04-08 22:00:00.562059,sherry_wright,"Release stress and get a full-body workout with our empowering kickboxing classes. Learn striking techniques, improve your coordination, and build strength while unleashing your inner warrior in a fun and supportive environment."
1276,Aerobics,256,begginer,33,22.08,A Aerobics class,1 h 45 min,2023-10-03 19:30:00.562059,mary_marshall,"Join the fun and get your heart pumping with our vibrant aerobics classes. Move to energizing music, improve cardiovascular fitness, and enhance coordination while enjoying a lively and engaging workout."
1277,HIIT,197,begginer,29,20.21,A HIIT class,1 h 55 min,2023-08-22 14:30:00.562059,monica_sandoval,Get ready to torch calories and boost your metabolism with our heart-pumping HIIT sessions. Alternate between intense bursts of exercise and short recovery periods to maximize fat burning and achieve fast results.
1278,Stretching,753,intermediate,13,11.69,A Stretching class,1 h 25 min,2024-02-04 00:00:00.562059,dominic_khan,"Enhance your flexibility, improve posture, and prevent injuries with our rejuvenating stretching classes. Release tension, increase range of motion, and promote muscle recovery while experiencing deep relaxation and stress relief."
1279,Pilates,615,all levels,48,14.28,A Pilates class,2 h ,2023-09-04 00:30:00.562059,felicia_howard,"Sculpt your body and improve your posture with our dynamic Pilates sessions. Strengthen your core, tone your muscles, and increase flexibility while engaging in precise movements that promote body awareness and grace."
1280,Kickboxing,518,begginer,14,10.74,A Kickboxing class,2 h ,2024-04-01 20:00:00.562059,deanna_bates,"Release stress and get a full-body workout with our empowering kickboxing classes. Learn striking techniques, improve your coordination, and build strength while unleashing your inner warrior in a fun and supportive environment."
1281,Total Body Conditioning,312,intermediate,30,21.44,A Total Body Conditioning class,2 h ,2023-12-30 08:30:00.562059,darrell_hinton,"Transform your body from head to toe with our comprehensive total body conditioning classes. Combining strength, cardio, and flexibility exercises, you'll enjoy a complete workout that targets all muscle groups for improved fitness and body composition."
1282,Boxing,370,all levels,31,13.15,A Boxing class,0 h 35 min,2024-02-04 10:00:00.562059,antonio_gibson,"Unleash your inner fighter and improve your strength and agility with our empowering boxing classes. Learn proper boxing techniques, increase endurance, and build confidence while working up a sweat and relieving stress."
1283,Other,683,intermediate,33,16.36,A Other class,0 h 15 min,2023-09-27 17:30:00.562059,christina_sanders,"Embark on a journey of exploration and variety with our diverse range of specialized fitness classes. From aerial yoga to functional training, we offer unique opportunities to challenge yourself, discover new passions, and uncover hidden talents. Step outside your comfort zone"
1284,HIIT,771,advanced,33,13.56,A HIIT class,0 h 50 min,2023-06-14 19:00:00.562059,katherine_williams,Get ready to torch calories and boost your metabolism with our heart-pumping HIIT sessions. Alternate between intense bursts of exercise and short recovery periods to maximize fat burning and achieve fast results.
1285,Aerobics,772,advanced,42,14.85,A Aerobics class,0 h 40 min,2024-05-08 13:30:00.562059,david_walsh,"Join the fun and get your heart pumping with our vibrant aerobics classes. Move to energizing music, improve cardiovascular fitness, and enhance coordination while enjoying a lively and engaging workout."
1286,Boxing,256,intermediate,26,17.99,A Boxing class,0 h 30 min,2023-07-01 23:30:00.562059,mary_marshall,"Unleash your inner fighter and improve your strength and agility with our empowering boxing classes. Learn proper boxing techniques, increase endurance, and build confidence while working up a sweat and relieving stress."
1287,Spinning,538,advanced,3,11.46,A Spinning class,1 h 10 min,2023-06-26 15:30:00.562059,matthew_francis,"Pedal your way to a healthier you with our energizing spinning classes. Get your heart racing, strengthen your legs, and burn calories as you ride to the rhythm of motivating music in a dynamic and immersive indoor cycling experience."
1288,Yoga,775,all levels,3,15.71,A Yoga class,0 h 30 min,2023-06-23 18:00:00.562059,margaret_petersen,"Discover inner peace and enhance your physical and mental well-being with our invigorating yoga classes. Unwind, increase flexibility, and strengthen your body while finding balance and harmony in a serene environment."
1289,Kickboxing,829,intermediate,29,13.78,A Kickboxing class,1 h 55 min,2023-07-27 12:00:00.562059,james_heath,"Release stress and get a full-body workout with our empowering kickboxing classes. Learn striking techniques, improve your coordination, and build strength while unleashing your inner warrior in a fun and supportive environment."
1290,GAP,970,advanced,30,11.84,A GAP class,2 h ,2023-11-14 18:30:00.562059,shannon_hale,"Focus on your lower body and core strength with our targeted GAP classes. Tone and tighten your glutes, abs, and legs through a combination of exercises designed to help you achieve a firm and toned physique."
1291,Spinning,839,intermediate,1,16.82,A Spinning class,1 h 35 min,2023-07-03 23:30:00.562059,brian_kim,"Pedal your way to a healthier you with our energizing spinning classes. Get your heart racing, strengthen your legs, and burn calories as you ride to the rhythm of motivating music in a dynamic and immersive indoor cycling experience."
1292,Other,584,begginer,2,14.23,A Other class,2 h ,2023-08-19 08:30:00.562059,christine_lee,"Embark on a journey of exploration and variety with our diverse range of specialized fitness classes. From aerial yoga to functional training, we offer unique opportunities to challenge yourself, discover new passions, and uncover hidden talents. Step outside your comfort zone"
1293,Spinning,113,begginer,39,13.04,A Spinning class,2 h ,2024-04-17 14:00:00.562059,calvin_smith,"Pedal your way to a healthier you with our energizing spinning classes. Get your heart racing, strengthen your legs, and burn calories as you ride to the rhythm of motivating music in a dynamic and immersive indoor cycling experience."
1294,Yoga,143,intermediate,34,18.96,A Yoga class,0 h 35 min,2023-11-12 16:30:00.562059,angel_phillips,"Discover inner peace and enhance your physical and mental well-being with our invigorating yoga classes. Unwind, increase flexibility, and strengthen your body while finding balance and harmony in a serene environment."
1295,Spinning,950,advanced,1,13.89,A Spinning class,1 h 50 min,2023-12-13 06:30:00.562059,matthew_olson,"Pedal your way to a healthier you with our energizing spinning classes. Get your heart racing, strengthen your legs, and burn calories as you ride to the rhythm of motivating music in a dynamic and immersive indoor cycling experience."
1296,Personalized,426,all levels,45,14.66,A Personalized class,2 h ,2024-01-09 05:00:00.562059,michael_hayes,"Experience the ultimate tailored fitness program with our personalized classes. Our expert trainers will design a workout plan specifically for you, taking into account your goals, fitness level, and preferences to ensure optimal results and motivation."
1297,Body Combat,854,all levels,50,11.28,A Body Combat class,1 h 5 min,2023-08-30 20:30:00.562059,breanna_johnston,"Channel your energy and release stress with our dynamic body combat classes. Combine martial arts-inspired moves with cardiovascular exercises to improve strength, coordination, and cardiovascular fitness in a challenging and empowering session."
1298,Total Body Conditioning,783,begginer,46,11.27,A Total Body Conditioning class,1 h 5 min,2023-11-03 23:30:00.562059,michelle_oneill,"Transform your body from head to toe with our comprehensive total body conditioning classes. Combining strength, cardio, and flexibility exercises, you'll enjoy a complete workout that targets all muscle groups for improved fitness and body composition."
